Title,Price,Street,Meters,Rooms,Toilets,Phone
Alquiler casa pareada en Sarrià Barcelona,4.500 €,Sarrià,252 m2,4 hab.,3 baños,681162903
Alquiler piso en Dreta de l´Eixample Barcelona,4.500 €,Dreta de l´Eixample - Carrer de Roger de Llúria,255 m2,4 hab.,2 baños,933017777
Alquiler dúplex  en alquiler de nueve habitaciones en plaza universitat en Barcelona,9.400 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,380 m2,9 hab.,5 baños,930191966
Alquiler piso  en alquiler amueblado cerca de avenida diagonal en Barcelona,2.600 €,L´Antiga Esquerra de l´Eixample - Carrer de Casanova,50 m2,2 hab.,1 baño,930191966
Alquiler piso  de 109m2 en sant pere-santa caterina- la ribera con 3 habitaciones y 1 baño completo. amueblado y equipado en Barcelona,1.700 €,St. Pere - Sta. Caterina - El Born - Carrer dels Banys Vells,109 m2,3 hab.,1 baño,936404292
Alquiler piso  en alquiler reformado y amueblado en zona gótico en Barcelona,4.000 €,Gòtic - Carrer de l'Hostal d'en Sol,135 m2,3 hab.,2 baños,930191966
Alquiler piso  en alquiler sin amueblar al lado de plaça catalunya en Barcelona,2.900 €,Dreta de l´Eixample - Carrer de Trafalgar,177 m2,3 hab.,1 baño,930191966
Alquiler piso espectacular loft de diseño totalmente amueblado en Barcelona,8.000 €,Poblenou - Carrer de Pere IV,355 m2,4 hab.,4 baños,672125043
"Alquiler piso  en el alquiler, muy luminoso y con todas las necesidades basicas para entrar a vivir en Barcelona",950 €,Raval - Carrer de Sant Gil,33 m2,1 hab.,1 baño,936404292
Alquiler piso en Sant Antoni Barcelona,1.800 €,Sant Antoni,57 m2,2 hab.,1 baño,681162903
Alquiler piso increible piso en vila de gracia totlamente amueblado y con todas las necesidades basicas para entrar a vivir. 4 habitac en Barcelona,1.950 €,Vila de Gràcia - Carrer de Bruniquer,120 m2,4 hab.,2 baños,936404292
Alquiler piso en Sant Gervasi - Galvany Barcelona,3.800 €,Sant Gervasi - Galvany,243 m2,5 hab.,4 baños,936740507
"Alquiler piso  en alquiler amueblado en calle viladomat, eixample esquerra en Barcelona",2.250 €,La Nova Esquerra de l´Eixample - Carrer de Viladomat,138 m2,3 hab.,2 baños,930191966
Alquiler loft  de obra nueva en alquiler amueblado y de 2 habitaciones en 22@ en Barcelona,2.860 €,Poblenou - Carrer de Bilbao,88 m2,2 hab.,2 baños,930191966
Alquiler piso loft de obra nueva en alquiler en 22@ en Barcelona,2.860 €,Poblenou - Carrer de Bilbao,103 m2,2 hab.,2 baños,930191966
Alquiler piso  en alquiler amueblado de cinco habitaciones en ciudad de elx en Barcelona,2.900 €,La Sagrera - Carrer de la Ciutat d'Elx,250 m2,5 hab.,5 baños,930191966
Alquiler piso ático en alquiler con 3 habitaciones y terraza en el born en Barcelona,2.600 €,St. Pere - Sta. Caterina - El Born - Carrer d'Armengol,90 m2,3 hab.,2 baños,930191966
Alquiler piso  en alquiler amueblado a estrenar en rambla de catalunya en Barcelona,1.800 €,Dreta de l´Eixample - Rambla de Catalunya,40 m2,1 hab.,1 baño,930191966
"Alquiler piso  de obra nueva en alquiler de 3 habitaciones, galvany en Barcelona",2.800 €,Sant Gervasi - Galvany - Carrer de Laforja,128 m2,3 hab.,2 baños,930191966
Alquiler piso  en alquiler amueblado y de 4 habitaciones en paseo de sant joan en Barcelona,2.580 €,Dreta de l´Eixample - Passeig de Sant Joan,115 m2,4 hab.,2 baños,930191966
Alquiler piso  en alquiler de obra nueva en gracia en Barcelona,1.700 €,El Camp d´en Grassot i Gràcia Nova - Carrer de Pau Alsina,42 m2,1 hab.,1 baño,930191966
Alquiler piso magnífica vivienda en sant gervasi en Barcelona,2.800 €,Sant Gervasi - Galvany,105 m2,2 hab.,2 baños,935154444
Alquiler piso  en alquiler en calle parlament Sant Antoni en Barcelona,1.400 €,Sant Antoni - Passatge de Pere Calders,40 m2,1 hab.,1 baño,930191966
Alquiler piso  en alquiler amueblado de 4 habitaciones en el born en Barcelona,2.950 €,St. Pere - Sta. Caterina - El Born - Avinguda de Francesc Cambó,136 m2,4 hab.,2 baños,930191966
"Alquiler piso en carrer de balmes 433 piso a estrenar en alquiler con piscina en calle balmes, 433. en Barcelona",3.450 €,Sant Gervasi - Bonanova - Carrer de Balmes 433,107 m2,4 hab.,3 baños,629260590
"Alquiler piso increible piso inteligente en la barceloneta de 10 años de antiguedad, totalmente equipado y listo para entrar a vivir en Barcelona",2.500 €,St. Pere - Sta. Caterina - El Born - Carrer del Doctor Aiguader,90 m2,2 hab.,2 baños,936404292
Alquiler piso  en alquiler amueblado en gran vía de carles iii (les corts) en Barcelona,2.150 €,Barri de les Corts - Gran Via de Carles III,133 m2,4 hab.,2 baños,930191966
"Alquiler piso  en alquiler en benet i mateu 31, en Barcelona",2.350 €,Sarrià - Carrer de Benet Mateu,100 m2,3 hab.,2 baños,690971324
Alquiler piso  en alquiler amueblado en poble sec en Barcelona,1.600 €,El Poble Sec - Parc de Montjuïc - Carrer de Margarit,65 m2,2 hab.,2 baños,930191966
Alquiler piso moderno y elegante piso en santa coloma en Santa Coloma de Gramenet,1.300 €,Centre,72 m2,1 hab.,1 baño,935154444
Alquiler piso  excepcional en finca regia en eixample en Barcelona,3.400 €,Dreta de l´Eixample,104 m2,3 hab.,2 baños,934145082
"Alquiler piso excelente piso temporal en les corts amueblado con muy buena entrada de luz. con 2 habitaciones dobles, baño completo y en Barcelona",1.700 €,Barri de les Corts - Carrer de Bordeus,83 m2,2 hab.,1 baño,936404292
Alquiler piso  en alquiler de dos habitaciones amueblado en leixample en Barcelona,1.850 €,Dreta de l´Eixample - Ronda de la Universitat,120 m2,2 hab.,1 baño,930191966
Alquiler casa  amueblada en alquiler en vallvidrera en Barcelona,20.000 €,Vallvidrera - Tibidabo - Les Planes - Carrer de Can Basseda,886 m2,10 hab.,6 baños,930191967
Alquiler piso  en alquiler en la calle doctor roux en Barcelona,2.400 €,Tres Torres - Carrer del Doctor Roux,155 m2,3 hab.,2 baños,930191966
"Alquiler casa  en alquiler amueblada y con piscina, sarriá en Barcelona",7.800 €,Sarrià - Carrer dels Tres Reis,200 m2,3 hab.,3 baños,930191966
Alquiler piso en congost 29 habitación con baño privado en Barcelona,700 €,Vila de Gràcia - CONGOST 29,20 m2,1 hab.,1 baño,930157153
Alquiler piso  de alquiler de cuatro habitaciones en plaza tetuán en Barcelona,4.700 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,190 m2,4 hab.,3 baños,930191966
"Alquiler piso  de 2 habitaciones dobles y balcón disponible en sants, en Barcelona",1.500 €,Hostafrancs - Carrer de l'Àliga,60 m2,2 hab.,1 baño,935128312
"Alquiler piso alquiler en jaume i barrio gotico, totlamente amueblado, y con vistas al exterior de la calle, con excelente iluminac en Barcelona",1.750 €,Gòtic - Carrer de Jaume I,105 m2,2 hab.,2 baños,936404292
"Alquiler piso  en alquiler amueblado en calle aribau, sant gervasigalvany en Barcelona",2.600 €,Sant Gervasi - Galvany - Carrer d'Aribau,154 m2,3 hab.,3 baños,930191966
Alquiler piso  en alquiler totalmente reformado de más de 200m2 en turó park en Barcelona,5.300 €,Sant Gervasi - Galvany,240 m2,5 hab.,2 baños,934227227
Alquiler piso en carrer del carme 3 piso en alquiler con vistas a las ramblas en Barcelona,2.500 €,Raval - Carrer del Carme 3,174 m2,3 hab.,2 baños,936111180
Alquiler piso  en alquiler en gran vía de les corts catalanes en Barcelona,6.000 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,238 m2,5 hab.,4 baños,930191966
Alquiler piso  en alquiler reformado y amueblado en calle diputación en Barcelona,2.200 €,L´Antiga Esquerra de l´Eixample - Carrer de la Diputació,106 m2,2 hab.,2 baños,930191966
Alquiler planta baja  con zona comunitaria en la bonanova en Barcelona,8.500 €,Sant Gervasi - Bonanova,200 m2,3 hab.,3 baños,934145082
"Alquiler piso alquiler temporal, piso totalemente amueblado y reformado en el Raval, con 1 habitacion, 1 baño y cocina equipada. en Barcelona",900 €,Raval - Sant Vicenç,35 m2,1 hab.,1 baño,936404292
"Alquiler piso increible piso en la planta baja, en excelentes condiciones, listo para entrar a vivir, ubicado en la Barceloneta. en Barcelona",1.100 €,Barceloneta - Carrer d'Andrea Dòria,43 m2,1 hab.,1 baño,936404292
Alquiler piso espectacular vivienda de obra nueva en realia-glories en Barcelona,3.200 €,Montbau,169 m2,4 hab.,2 baños,936451424
Alquiler piso encantador piso en alquiler en el corazón en Barcelona,2.200 €,Sagrada Família - Avinguda de Gaudí,75 m2,2 hab.,2 baños,934173266
Alquiler piso en Raval Barcelona,1.300 €,Raval - Carrer de l'Hospital,55 m2,2 hab.,1 baño,934197184
"Alquiler piso reformado, a estrenar. en Sant Gervasi - Galvany Barcelona",5.400 €,Sant Gervasi - Galvany - Carrer de Josep Bertrand,240 m2,5 hab.,3 baños,932044616
"Alquiler piso  en alquiler , con 70 m2, 2 habitaciones y 2 baños, ascensor, amueblado y aire acondicionado. en Barcelona",2.700 €,Poblenou - Carrer d'Espronceda,70 m2,2 hab.,2 baños,931222465
Alquiler piso  temporal en alquiler en las ramblas - el Raval en Barcelona,1.300 €,Raval - Carrer de l'Hospital,55 m2,2 hab.,1 baño,934197184
Alquiler piso  de alquiler en Provençals del Poblenou en Barcelona,1.690 €,Provençals del Poblenou - Carrer del Marroc,60 m2,1 hab.,1 baño,938348202
Alquiler piso obra nueva en l’hospitalet de llobregat en Hospitalet de Llobregat (L´),1.235 €,Sant Josep,56 m2,2 hab.,1 baño,931549706
Alquiler piso parking para 2 ó 3 coches. en Tres Torres Barcelona,5.500 €,Tres Torres - Passeig de la Bonanova,300 m2,5 hab.,4 baños,932044616
Alquiler apartamento  2 habitaciones con terraza en Poblenou en Barcelona,3.795 €,Poblenou - Carrer del Doctor Trueta,140 m2,2 hab.,2 baños,623119277
